Subject,Code,Title,Prerequisites
ANTH,ANSC 100,Special Topics in Sociocultural Anthropology,upper-division standing or consent of instructor
ANTH,ANSC 101,Aging: Culture and Health in Late Life Human Development,upper-division standing
ANTH,ANSC 101A,Korean Wave Media and Cultural Change,upper-division standing
ANTH,ANSC 103,Mexico,upper-division standing
ANTH,ANSC 104,The US-Mexico Border,upper-division standing
ANTH,ANSC 105,Global Health and Inequality,upper-division standing
ANTH,ANSC 105GS,Global Health and Inequality,upper-division standing
ANTH,ANSC 105S,Global Health and Inequality—Study Abroad,upper-division standing
ANTH,ANSC 106,Global Health: Indigenous Medicines in Latin America,upper-division standing
ANTH,ANSC 106S,Global Health: Indigenous Medicines in Latin America—Study Abroad,upper-division standing
ANTH,ANSC 106GS,Global Health: Indigenous Medicines in Latin America,upper-division standing
ANTH,ANSC 107,Capitalism and Empire,upper-division standing
ANTH,ANSC 108,Capitalism and Money,upper-division standing
ANTH,ANSC 109,Capitalism and the State,upper-division standing
ANTH,ANSC 110,Societies and Cultures of the Caribbean,upper-division standing
ANTH,ANSC 113,"Language, Style, and Youth Identities",upper-division standing
ANTH,ANSC 114,Food Cultures of South Asia,upper-division standing
ANTH,ANSC 117,Transgenderisms,upper-division standing
ANTH,ANSC 118,Language and Culture,upper-division standing
ANTH,ANSC 119GS,"Gesture, Communication, and the Body",upper-division standing
ANTH,ANSC 120,Religion and Culture,upper-division standing
ANTH,ANSC 121,Psychological Anthropology,upper-division standing
ANTH,ANSC 122,Language in Society,upper-division standing
ANTH,ANSC 123,Political Anthropology,upper-division standing
ANTH,ANSC 124,Cultural Anthropology,upper-division standing
ANTH,ANSC 125,"Gender, Sexuality, and Society",upper-division standing
ANTH,ANSC 125GS,"Gender, Sexuality, and Society",upper-division standing
ANTH,ANSC 126,Childhood and Adolescence,upper-division standing
ANTH,ANSC 127,"Discourse, Interaction, and Social Life",upper-division standing or consent of instructor
ANTH,ANSC 129,Meaning and Healing,upper-division standing or consent of instructor
ANTH,ANSC 130,Hinduism,upper-division standing
ANTH,ANSC 131,"Language, Law, and Social Justice",upper-division standing
ANTH,ANSC 132,Sex and Love,upper-division standing
ANTH,ANSC 133,Peoples and Cultures of the Middle East,upper-division standing
ANTH,ANSC 134,The Politics of Environmental Change,upper-division standing
ANTH,ANSC 135,Indigenous Peoples of Latin America,upper-division standing
ANTH,ANSC 135GS,Indigenous Peoples of Latin America,upper-division standing
ANTH,ANSC 136,Traditional Chinese Society,upper-division standing
ANTH,ANSC 137,Chinese Popular Religion,upper-division standing
ANTH,ANSC 138,The Cultural Design Practicum: Using Anthropology to Solve Human Problems,upper-division standing
ANTH,ANSC 139,Native American Health and Healing,upper-division standing
ANTH,ANSC 141,Language and Political Action,upper-division standing
ANTH,ANSC 142,Anthropology of Latin America,upper-division standing
ANTH,ANSC 143,Mental Health as Global Health Priority,upper-division standing
ANTH,ANSC 144,Immigrant and Refugee Health,upper-division standing
ANTH,ANSC 145,Indigenous Peoples of North America,upper-division standing
ANTH,ANSC 146,A Global Health Perspective on HIV,upper-division standing
ANTH,ANSC 147,Global Health and the Environment,upper-division standing
ANTH,ANSC 148,Global Health and Cultural Diversity,upper-division standing
ANTH,ANSC 149,"Conflict, Health, and Inequality",upper-division standing
ANTH,ANSC 150,Culture and Mental Health,upper-division standing
ANTH,ANSC 151,US-Mexico Border Ethnographies,upper-division standing or consent of instructor
ANTH,ANSC 152,Social Justice in South Asia,upper-division standing
ANTH,ANSC 153,War in Lived Experience,upper-division standing
ANTH,ANSC 154,Gender and Religion,upper-division standing
ANTH,ANSC 155,Humanitarian Aid: What Is It Good For?,"ANTH 101, ANSC 123, or ANSC 148 and upper-division standing"
ANTH,ANSC 156,Mad Films: Cultural Studies of Mental Illness in Cinema,upper-division standing
ANTH,ANSC 159,The Anthropology of Marriage,upper-division standing
ANTH,ANSC 160,"Nature, Culture, and Environmentalism",upper-division standing
ANTH,ANSC 161,California: Undergraduate Research Seminar,upper-division standing
ANTH,ANSC 162,"Language, Identity, and Community",upper-division standing
ANTH,ANSC 164,Introduction to Medical Anthropology,upper-division standing
ANTH,ANSC 165,Contemporary South Asia,upper-division standing
ANTH,ANSC 166,Film and Culture in Asia,upper-division standing
ANTH,ANSC 169,Culture and Environment: Research Seminar and Practicum,upper-division standing or consent of instructor
ANTH,ANSC 171,Multimodal Methods in Ethnography,upper-division standing
ANTH,ANSC 173,Ethnography in Practice,upper-division standing
ANTH,ANSC 175,"Beyond Capitalism: The Future of Money, Work, and Nature",upper-division standing
ANTH,ANSC 177,Step Into Anthrohistory: The Past and Its Hold on the Future,upper-division standing
ANTH,ANSC 178,"Brain, Mind, Culture, and History",upper-division standing
ANTH,ANSC 180,Capitalism and Gender,upper-division standing
ANTH,ANSC 181,Animal Affairs,upper-division standing
ANTH,ANSC 183,"Visualizing the Human: Film, Photography, and Digital Technologies",upper-division standing
ANTH,ANSC 184,"Food, Culture, and Society",upper-division standing
ANTH,ANSC 185,#BlackLivesMatter,upper-division standing
ANTH,ANSC 186,Gender and Incarceration,upper-division standing
ANTH,ANSC 187,Anthropology of Mental Health in Israel and the Diaspora,upper-division standing
ANTH,ANSC 188,Cultures of Healing,upper-division standing
ANTH,ANSC 189,Social Justice in South Asia,upper-division standing
ANTH,ANSC 190,Yoga Practices: From Banaras to Beverly Hills,upper-division standing
ANTH,ANSC 190GS,Medicine and Healing in South Asia,"ANSC 101, ANSC 121, ANSC 155, ANSC 173, ANTH 103, ANSC 146, ANSC 147, ANSC 148, or ANSC 164, department approval required, and upper-division standing"
ANTH,ANSC 191,Stories and Selves,upper-division standing
ANTH,ANSC 191GS,Everyday Life in South Asia: Beyond the Clichés,"ANSC 121, ANSC 148, ANSC 155, ANSC 164, ANTH 1, ANTH 21, ANTH 23, or ANTH 103, department approval required, and upper-division standing"
ANTH,ANSC 192,Liberation Bound: Struggles Against Capitalism and Imperialism Worldwide,upper-division standing
ANTH,ANSC 192A,US Empire: What Is It?,upper-division standing
ANTH,ANSC 192GS,Rethinking Poverty and Development,department approval required and upper-division standing
ANTH,ANSC 193,Capitalism and Nature,upper-division standing
ANTH,ANSC 193GS,Human Rights and Environmental Justice,department approval required and upper-division standing
ANTH,ANSC 194,"Language, Migration, Borders",upper-division standing
ANTH,ANSC 196,Human Rights Advocacy Seminar,upper-division standing
ANTH,ANTH 200,Special Topics in Anthropology Graduate Studies,graduate standing
ANTH,ANTH 201,Special Topics in Anthropological Archaeology,graduate standing
ANTH,ANTH 202,Olmec and Maya Archaeology,graduate standing
ANTH,ANTH 203,Introduction to Anthropogeny,graduate standing
ANTH,ANTH 204,Contemporary Anthropology,graduate standing
ANTH,ANTH 205,Postcolonial and Decolonial Anthropology,graduate standing
ANTH,ANTH 206,"Race, Ethnicity, and Citizenship",graduate standing
ANTH,ANTH 207,Eastern Mediterranean Archaeology—New Perspectives,graduate standing
ANTH,ANTH 209,Archaeology’s Role in Building National Narrative: Israel as a Case Study,graduate standing
ANTH,ANTH 211,Capitalism and Science,graduate standing
ANTH,ANTH 212,Advanced Topics in Biological Anthropology,graduate standing
ANTH,ANTH 213,Anthropology and Mental Health,graduate standing
ANTH,ANTH 215,Advanced Topics in Sociocultural Anthropology,graduate standing
ANTH,ANTH 219,Seminar in Political Anthropology,graduate standing
ANTH,ANTH 220,The Human Body in Discourse and Experience,graduate standing
ANTH,ANTH 221,Phenomenology of Perception,graduate standing
ANTH,ANTH 222,Anthropological Studies of Subjectivity,graduate standing
ANTH,ANTH 223,Anthropological Interviewing,graduate standing
ANTH,ANTH 224,The Anthropology of Gender and Sexuality,graduate standing or consent of instructor
ANTH,ANTH 226,Ethnography of Christianity,graduate standing or consent of instructor
ANTH,ANTH 227,Living in an Emotional World,graduate standing
ANTH,ANTH 228,Partners Not Subjects: Community-Engaged Research for Anthropologists,graduate standing
ANTH,ANTH 229,Religion and Healing,graduate standing
ANTH,ANTH 230,Department Colloquium,graduate standing
ANTH,ANTH 231,"Maritime Archaeology in the Eastern Mediterranean—New Perspectives on Climate, Environmental, and Cultural Change",graduate standing
ANTH,ANTH 232,Labor and Semiotics,graduate standing
ANTH,ANTH 233,Critical Studies of Capitalism,graduate standing
ANTH,ANTH 235,Theories of Social Justice,graduate standing
ANTH,ANTH 236,What is Religion?,graduate standing
ANTH,ANTH 237,Native American Health and Healing,graduate standing
ANTH,ANTH 238,Immigrant and Refugee Health,graduate standing
ANTH,ANTH 239,Contemporary Religious Movements,graduate standing
ANTH,ANTH 241,Linguistic Anthropology Workshop,graduate standing
ANTH,ANTH 242,Anthropology of Latin America,graduate standing
ANTH,ANTH 243,Mental Health as Global Health Priority,graduate standing
ANTH,ANTH 244,Andean Prehistory: Origins of Chiefdoms and States,graduate standing
ANTH,ANTH 245,The Middle Horizon,graduate standing
ANTH,ANTH 246,The Inca and the Late Horizon,graduate standing
ANTH,ANTH 247,Multimodal Interaction,graduate standing in anthropology or consent of instructor
ANTH,ANTH 248,Global Health and Cultural Diversity,graduate standing
ANTH,ANTH 249,Gender and Mental Health,graduate standing
ANTH,ANTH 250,The Anthropology of Human Rights,graduate standing
ANTH,ANTH 251,The Ethnography of Modernity,graduate standing or consent of instructor
ANTH,ANTH 253,Who Cares? Sympathy and the Conduct of Liberalism,graduate standing
ANTH,ANTH 254,Dissertation Practicum,graduate standing
ANTH,ANTH 256,Seminar on Brain Evolution (4),graduate student in anthropology or consent of instructor
ANTH,ANTH 257,"Mind, Self, and Identity",graduate standing in anthropology
ANTH,ANTH 258,Analytical Methods in Archaeology,graduate standing
ANTH,ANTH 259,Gender and Mental Health,graduate standing
ANTH,ANTH 260,Seminar in Medical and Psychological Anthropology,graduate standing
ANTH,ANTH 262,Critical Anthropology Workshop,graduate standing
ANTH,ANTH 263,Beyond the Genome,graduate standing
ANTH,ANTH 264,Human Evolutionary Genetics,graduate standing
ANTH,ANTH 265,Marine and Coastal Archaeology: Israel and the Neighboring Lands,graduate standing
ANTH,ANTH 266,Anthropology of Love,graduate standing
ANTH,ANTH 267,"Decolonizing Ethnography: Ethics, Politics, and Praxis",graduate standing
ANTH,ANTH 268,Introduction to Science Studies: Part I,graduate standing
ANTH,ANTH 269,Introduction to Science Studies: Part II,graduate standing
ANTH,ANTH 270,The Archaeology of Climate Change—Social Adaptation and Vulnerability in Temporal Perspective,N/A
ANTH,ANTH 271,Ethics and Survival Skills in Academia,graduate standing
ANTH,ANTH 272,Seminar in Science Studies,graduate standing
ANTH,ANTH 273,Colloquium in Science Studies,graduate standing
ANTH,ANTH 274,Debates in Anthropology,graduate standing in anthropology
ANTH,ANTH 275,Paleoethnobotany,graduate standing in anthropology
ANTH,ANTH 276,Global Mental Health,graduate standing
ANTH,ANTH 277,Critique of Value and the Value of Critique,graduate standing
ANTH,ANTH 278,Anthropological Methods,graduate standing
ANTH,ANTH 279,Special Topics in Language and Society,graduate standing
ANTH,ANTH 280A,Core Seminar in Social Anthropology,graduate standing in anthropology or consent of instructor
ANTH,ANTH 280B,Core Seminar in Cultural Anthropology,graduate standing in anthropology or consent of instructor
ANTH,ANTH 280C,Core Seminar in Psychological Anthropology,graduate standing in anthropology or consent of instructor
ANTH,ANTH 280D,Core Seminar in Anthropological Archaeology,graduate standing in anthropology or consent of instructor
ANTH,ANTH 280E,Core Seminar in Biological Anthropology,graduate standing in anthropology or consent of instructor
ANTH,ANTH 280F,"Language, Semiosis, Culture",graduate standing
ANTH,ANTH 281A,Proseminar,first-year graduate standing in anthropology
ANTH,ANTH 281B,Proseminar,first-year graduate standing in anthropology
ANTH,ANTH 281C,Anthropology Proseminar,first-year graduate standing in anthropology
ANTH,ANTH 283A,Fieldwork Seminar,graduate standing or consent of instructor
ANTH,ANTH 284,Master Writing Practicum,graduate standing
ANTH,ANTH 285,Grants Writing Practicum,graduate standing
ANTH,ANTH 287,Ethnography Practicum,graduate standing
ANTH,ANTH 288,Archaeology Practicum,consent of the instructor
ANTH,ANTH 289S,Tanzania Anthropogeny Study Tour,graduate standing; department authorization required
ANTH,ANTH 291,Archaeology of Highland Mexico,graduate standing
ANTH,ANTH 292,Social Evolution/Iron Age Levant,graduate standing
ANTH,ANTH 293,Primate Socioecology,graduate standing or consent of instructor
ANTH,ANTH 295,Master’s Thesis Preparation,graduate student in anthropology and consent of master’s thesis chair
ANTH,ANTH 296,Dissertation Fieldwork Proposal Preparation,graduate standing in anthropology and consent of departmental committee chair
ANTH,ANTH 297,Research Practicum,for anthropology graduate students who have returned from their field research
ANTH,ANTH 298,Independent Study,graduate standing
ANTH,ANTH 299,Dissertation Research,PhD candidacy in anthropology
ANTH,ANTH 500,Apprentice Teaching,graduate student in anthropology
ASTR,ASTR 1,Stars and Black Holes,N/A
ASTR,ASTR 2,Galaxies and the Universe,N/A
ASTR,ASTR 3,Planetary Systems Near and Far,N/A
ASTR,ASTR 4,Life in the Universe,N/A
ASTR,ASTR 10,Astronomy and Civilization,N/A
ASTR,ASTR 15,Astronomy in Science Fiction,N/A
ASTR,ASTR 18,Additional Topics in Classical Physics,PHYS 2A or PHYS 2AR and PHYS 2B and PHYS 2C and PHYS 2D
ASTR,ASTR 20A,Introduction to Astrophysics I,MATH 20A-B-C or 31BH and PHYS 2A/2AR-B or 4A and 4C
ASTR,ASTR 20B,Introduction to Astrophysics II,ASTR 20A
ASTR,ASTR 60,Antiracism in Physics and Astronomy,N/A
ASTR,ASTR 65,The Astronomy of Climate Change,N/A
ASTR,ASTR 87,First-Year Seminar,N/A
ASTR,ASTR 98,Directed Group Study,N/A
ASTR,ASTR 99,Independent Study,N/A
ASTR,ASTR 101,Astrophysical Dynamics,"PHYS 2A/2AR-B-C-D or 4A-B-C-D-E, and MATH 18 or 31AH and 20E"
ASTR,ASTR 102,Electrodynamics and Optics for Astrophysicists,"ASTR 101, and PHYS 2A/2AR-B-C-D or 4A-B-C-D-E, and ASTR 18"
ASTR,ASTR 103,Dynamics of Radiation and Fluids,ASTR 102
ASTR,ASTR 104,Thermal Astrophysics,ASTR 103
ASTR,ASTR 105,Fundamentals of Quantum Mechanics,"ASTR 101, and PHYS 2A/2AR-B-C-D or 4A-B-C-D-E, and ASTR 18"
ASTR,ASTR 106,"Quantum Mechanics of Radiation, Atoms and Molecules",ASTR 105
ASTR,ASTR 120,Stellar Astrophysics,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E
ASTR,ASTR 121,The Explosive Universe,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E
ASTR,ASTR 122,Physical Cosmology,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E
ASTR,ASTR 123,Galaxies,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E
ASTR,ASTR 124,Exoplanets,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E
ASTR,ASTR 130,Astrobiology,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E
ASTR,ASTR 131,From the Stars to Earth: Using Nuclear Energy,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E
ASTR,ASTR 150,Observational Optical Research Lab,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E and BILD 62 or COGS 18 or CSE 11 or CSE 6R or CSE 8A or CSE 8B or DSC 10 or PHYS 41
ASTR,ASTR 151,Advanced Observational Optical Research Lab,ASTR 150
ASTR,ASTR 152,Observational Radio Research Lab,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E
ASTR,ASTR 154,Data Science in Astronomy,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E and BILD 62 or COGS 18 or CSE 11 or CSE 6R or CSE 8A or CSE 8B or DSC 10 or PHYS 41
ASTR,ASTR 155,Computational Astrophysics,PHYS 2A/2AR-B-C-D or 4A-B-C-D-E and BILD 62 or COGS 18 or CSE 11 or CSE 6R or CSE 8A or CSE 8B or DSC 10 or PHYS 41
ASTR,ASTR 191,Undergraduate Seminar in Astronomy and Astrophysics,N/A
ASTR,ASTR 198,Directed Group Study: Astrophysics,N/A
ASTR,ASTR 199,Research for Undergraduates,N/A
ASTR,ASTR 199H,Honors Thesis Research for Undergraduates,N/A
ASTR,ASTR 200,Survey of Astronomy,N/A
ASTR,ASTR 201,Radiative Processes in Astrophysics,N/A
ASTR,ASTR 202,Astrophysical Fluid Dynamics,N/A
ASTR,ASTR 210,Planets and Exoplanets,N/A
ASTR,ASTR 211,Stellar Structure and Evolution,N/A
ASTR,ASTR 212,Physics of the Interstellar Medium,N/A
ASTR,ASTR 213,Galaxies and Galactic Dynamics,N/A
ASTR,ASTR 214,Physical Cosmology,N/A
ASTR,ASTR 215,Stellar Remnants,N/A
ASTR,ASTR 220,Astronomical Instrumentation and Observational Techniques,N/A
ASTR,ASTR 221,Computational Astrophysics,N/A
ASTR,ASTR 222,Astrophysical Kinetics,N/A
ASTR,ASTR 223,Astrostatistics,N/A
ASTR,ASTR 224,Astrophysical Dynamics,N/A
ASTR,ASTR 225,Astrophysical Plasmas,N/A
ASTR,ASTR 226,Observational Astrophysics Research Lab,N/A
ASTR,ASTR 227,Parallel Computing Techniques,N/A
ASTR,ASTR 230,Special Topics,N/A
ASTR,ASTR 250,Astronomy and Astrophysics Colloquium,N/A
ASTR,ASTR 251,Astronomy and Astrophysics Journal Club,N/A
ASTR,ASTR 291,Professional Development in Astronomy and Astrophysics,N/A
ASTR,ASTR 298,Directed Studies in Astronomy and Astrophysics,N/A
ASTR,ASTR 299,Thesis Research in Astronomy and Astrophysics,N/A
ASTR,ASTR 500,Astronomical Teaching Training,N/A
AWP,AWP 3,Analytical Writing,N/A
AWP,AWP 4A,Analytical Writing and Academic English A,N/A
AWP,AWP 4B,Analytical Writing and Academic English B,AWP 4A
AWP,AWP 10,Language and Learning in the American Academy,N/A
AWP,AWP 10R,Language and Learning in the American Academy,N/A
AWP,AWP 100,Writing a Researched Argument,upper-division or graduate standing
AWP,AWP 101,Writing about Science,upper-division or graduate standing
AWP,AWP 102,Writing for the Professions,upper-division or graduate standing
AWP,AWP 102R,Writing for the Professions,upper-division or graduate standing
AWP,AWP 103,Writing about the Law,upper-division or graduate standing
AWP,AWP 104,Writing about Climate Change,upper-division or graduate standing
BENG,BENG 1,Introduction to Bioengineering,none
BENG,BENG 2,Introductory Computer Programming and MATLAB,bioengineering: biosystems majors only or consent of department
BENG,BENG 87,First-year Student Seminar,N/A
BENG,BENG 90,Special Topics in Bioengineering,"bioengineering majors only (BE25, BE27, BE28, BE29) or consent of department"
BENG,BENG 90L,Special Topics in Bioengineering with Laboratory,"bioengineering majors only (BE25, BE27, BE28, BE29) or consent of department"
BENG,BENG 91,Topics in Bioengineering and Medicine,bioengineering majors only or consent of department
